"Sample_no","Year","Planting_day","Planting_month","Harvest_day","Harvest_month","Treatment_Code","Rotation","Rep","Variety","Irrigation","Quality_short","Quality_long","Acceptance","Orig_Weight","Weight","AFG2","AFG1","AFB2","AFB1","AFTotal"
198,"2002","06","05","07","10",2273,"2",2,"GA 982508","50","A","whole kernel accept","premium",NA,199.8,0,0,0.1,0.4,0.5
199,"2002","06","05","07","10",3363,"3",3,"GA Green diamond","50","A","whole kernel accept","premium",NA,200,0,0,0,0,0
200,"2002","06","05","07","10",2383,"2",3,"AT 201","50","A","whole kernel accept","premium",NA,200.2,0,0,0,0.3,0.3
201,"2002","06","05","07","10",2263,"2",2,"GA Green diamond","50","A","whole kernel accept","premium",NA,199.8,0,0,0,0,0
202,"2002","06","05","07","10",6283,"6",2,"AT 201","50","A","whole kernel accept","premium",NA,200.2,0,0,0,0.2,0.2
203,"2002","06","05","07","10",3383,"3",3,"AT 201","50","A","whole kernel accept","premium",NA,199.9,0,0,2,13.4,15.4
204,"2002","06","05","07","10",6183,"6",1,"AT 201","50","A","whole kernel accept","premium",NA,200.1,0,0,0.2,1.3,1.5
205,"2002","06","05","07","10",6373,"6",3,"GA 982508","50","A","whole kernel accept","premium",NA,199.9,0,0,0,0.2,0.2
206,"2002","06","05","07","10",3273,"3",2,"GA 982508","50","A","whole kernel accept","premium",NA,199.9,0,0,0,0.3,0.3
207,"2002","06","05","07","10",3373,"3",3,"GA 982508","50","A","whole kernel accept","premium",NA,199.9,0,0,0,0.1,0.1
208,"2002","06","05","07","10",6273,"6",2,"GA 982508","50","A","whole kernel accept","premium",NA,200,0,0,0,0,0
209,"2002","06","05","07","10",2283,"2",2,"AT 201","50","A","whole kernel accept","premium",NA,200.1,0,0,0,0.2,0.2
210,"2002","06","05","07","10",3163,"3",1,"GA Green diamond","50","A","whole kernel accept","premium",NA,200,0,0,0,0,0
211,"2002","06","05","07","10",2373,"2",3,"GA 982508","50","A","whole kernel accept","premium",NA,200.1,0,0,0,0.4,0.4
212,"2002","06","05","07","10",6253,"6",2,"GA Green twin","50","A","whole kernel accept","premium",NA,200,0,0,0,0,0
213,"2002","06","05","07","10",2353,"2",3,"GA Green twin","50","A","whole kernel accept","premium",NA,200,0,0,0,0,0
214,"2002","06","05","07","10",3183,"3",1,"AT 201","50","A","whole kernel accept","premium",NA,199.9,0,0,0.1,0.2,0.3
215,"2002","06","05","07","10",3253,"3",2,"GA Green twin","50","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
216,"2002","06","05","07","10",2183,"2",1,"AT 201","50","A","whole kernel accept","premium",NA,200,0,0,0,0.1,0.1
217,"2002","06","05","07","10",3283,"3",2,"AT 201","50","A","whole kernel accept","premium",NA,200,0,0,0,0.1,0.1
218,"2002","06","05","07","10",2173,"2",1,"GA 982508","50","A","whole kernel accept","premium",NA,200,0,0,0,0.2,0.2
219,"2002","06","05","07","10",2253,"2",2,"GA Green twin","50","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
220,"2002","06","05","07","10",6383,"6",3,"AT 201","50","A","whole kernel accept","premium",NA,200,0,0,0,0,0
221,"2002","06","05","07","10",3252,"3",2,"GA Green twin","75","LA","loose split kernel accept","accept",21.5,21.5,0,0,0,0.5,0.5
222,"2002","06","05","07","10",2352,"2",3,"GA Green twin","75","LA","loose split kernel accept","accept",30.8,30.8,0,0,0,0.5,0.5
223,"2002","06","05","07","10",6162,"6",1,"GA Green diamond","75","LA","loose split kernel accept","accept",29.5,29.5,0,0,0.1,1.2,1.3
224,"2002","06","05","07","10",2252,"2",2,"GA Green twin","75","LA","loose split kernel accept","accept",33.4,33.4,0,0,0,0,0
225,"2002","06","05","07","10",2362,"2",3,"GA Green diamond","75","LA","loose split kernel accept","accept",32.2,32.2,0,0,0,0.1,0.1
226,"2002","06","05","07","10",3352,"3",3,"GA Green twin","75","LA","loose split kernel accept","accept",27.6,27.6,0,0,0.1,0.7,0.8
227,"2002","06","05","07","10",2162,"2",1,"GA Green diamond","75","LA","loose split kernel accept","accept",14,14,0,0,0.6,4.7,5.3
228,"2002","06","05","07","10",2262,"2",2,"GA Green diamond","75","LA","loose split kernel accept","accept",18.8,18.8,0,0,0.7,4.7,5.4
229,"2002","06","05","07","10",6262,"6",2,"GA Green diamond","75","LA","loose split kernel accept","accept",41.2,41.2,0,0,0,0.2,0.2
230,"2002","06","05","07","10",2152,"2",1,"GA Green twin","75","LA","loose split kernel accept","accept",33.8,33.8,0,0,0,0.3,0.3
231,"2002","06","05","07","10",6362,"6",3,"GA Green diamond","75","LA","loose split kernel accept","accept",46.2,46.2,0,0,0,0.1,0.1
232,"2002","06","05","07","10",6252,"6",2,"GA Green twin","75","LA","loose split kernel accept","accept",36.1,36.1,0,0,0,0,0
233,"2002","06","05","07","10",3362,"3",3,"GA Green diamond","75","LA","loose split kernel accept","accept",29.9,29.9,0,0,0.2,1.8,2
234,"2002","06","05","07","10",3262,"3",2,"GA Green diamond","75","LA","loose split kernel accept","accept",27.7,27.7,0,0,0.1,0.6,0.7
235,"2002","06","05","07","10",3162,"3",1,"GA Green diamond","75","LA","loose split kernel accept","accept",14.8,14.8,0,0,0.2,2,2.2
236,"2002","06","05","07","10",6152,"6",1,"GA Green twin","75","LA","loose split kernel accept","accept",34.5,34.5,0,0,0,0.1,0.1
237,"2002","06","05","07","10",6352,"6",3,"GA Green twin","75","LA","loose split kernel accept","accept",37.6,37.6,0,0,0,0.3,0.3
238,"2002","06","05","07","10",3152,"3",1,"GA Green twin","75","LA","loose split kernel accept","accept",27.4,27.4,0,0,0.5,3.5,4
239,"2002","06","05","07","10",6282,"6",2,"AT 201","75","L","loose split kernel reject","reject",76.4,76.4,0,0,0,0,0
240,"2002","06","05","07","10",3382,"3",3,"AT 201","75","L","loose split kernel reject","reject",33.9,33.9,0,0,0,0.3,0.3
241,"2002","06","05","07","10",2272,"2",2,"GA 982508","75","L","loose split kernel reject","reject",47,47,0,0,0,0,0
242,"2002","06","05","07","10",6172,"6",1,"GA 982508","75","L","loose split kernel reject","reject",19.9,19.9,0,0,0.2,1.4,1.6
243,"2002","06","05","07","10",3172,"3",1,"GA 982508","75","L","loose split kernel reject","reject",43.6,43.6,0,0,0,0.2,0.2
244,"2002","06","05","07","10",6382,"6",3,"AT 201","75","L","loose split kernel reject","reject",34.9,34.9,0.2,0.7,15.8,99.7,116.4
245,"2002","06","05","07","10",3282,"3",2,"AT 201","75","L","loose split kernel reject","reject",17.9,17.9,0,0,0.1,1.3,1.4
246,"2002","06","05","07","10",6272,"6",2,"GA 982508","75","L","loose split kernel reject","reject",29.6,29.6,0,0,0.1,0.7,0.8
247,"2002","06","05","07","10",2382,"2",3,"AT 201","75","L","loose split kernel reject","reject",36.1,36.1,0,0,0,0.4,0.4
248,"2002","06","05","07","10",6372,"6",3,"GA 982508","75","L","loose split kernel reject","reject",99.9,99.9,0,0,0,0,0
249,"2002","06","05","07","10",3272,"3",2,"GA 982508","75","L","loose split kernel reject","reject",27.3,27.3,0,0,0.1,1.2,1.3
250,"2002","06","05","07","10",3372,"3",3,"GA 982508","75","L","loose split kernel reject","reject",24.9,24.9,0,0,0.3,2,2.3
251,"2002","06","05","07","10",3182,"3",1,"AT 201","75","L","loose split kernel reject","reject",36.4,36.4,0,0,0,0.1,0.1
252,"2002","06","05","07","10",2282,"2",2,"AT 201","75","L","loose split kernel reject","reject",22.4,22.4,0,0,0.1,0.7,0.8
253,"2002","06","05","07","10",2182,"2",1,"AT 201","75","L","loose split kernel reject","reject",52.2,52.2,0,0,1.2,6,7.2
254,"2002","06","05","07","10",2372,"2",3,"GA 982508","75","L","loose split kernel reject","reject",24.8,24.8,0,0,0.2,1.6,1.8
255,"2002","06","05","07","10",2172,"2",1,"GA 982508","75","L","loose split kernel reject","reject",30,30,0,0,0.1,1.1,1.2
256,"2002","06","05","07","10",6182,"6",1,"AT 201","75","L","loose split kernel reject","reject",43.6,43.6,0,0,0,0,0
257,"2002","06","05","07","10",2282,"2",2,"AT 201","75","R","whole kernel reject","reject",257.7,257.7,0,0,0,0.1,0.1
258,"2002","06","05","07","10",2372,"2",3,"GA 982508","75","R","whole kernel reject","reject",239.8,239.8,0,0,0,0.1,0.1
259,"2002","06","05","07","10",3372,"3",3,"GA 982508","75","R","whole kernel reject","reject",225.7,225.7,0,0,0,0.3,0.3
260,"2002","06","05","07","10",3282,"3",2,"AT 201","75","R","whole kernel reject","reject",258.5,258.5,0,0,0.5,2.6,3.1
261,"2002","06","05","07","10",6372,"6",3,"GA 982508","75","R","whole kernel reject","reject",250,250,0,0,0,0.1,0.1
262,"2002","06","05","07","10",2382,"2",3,"AT 201","75","R","whole kernel reject","reject",290.2,290.2,0,0,0,0.2,0.2
263,"2002","06","05","07","10",6382,"6",3,"AT 201","75","R","whole kernel reject","reject",281.9,281.9,0,0,294.9,1179.5,1474.4
264,"2002","06","05","07","10",2172,"2",1,"GA 982508","75","R","whole kernel reject","reject",235.9,235.9,0,0,0,0,0
265,"2002","06","05","07","10",3272,"3",2,"GA 982508","75","R","whole kernel reject","reject",212.2,212.2,0,0,0,0,0
266,"2002","06","05","07","10",2272,"2",2,"GA 982508","75","R","whole kernel reject","reject",218.3,218.3,0,0,0.7,3.5,4.2
267,"2002","06","05","07","10",3172,"3",1,"GA 982508","75","R","whole kernel reject","reject",217.7,217.7,0,0,0,0,0
268,"2002","06","05","07","10",6182,"6",1,"AT 201","75","R","whole kernel reject","reject",278.6,278.6,0,0,0,0.1,0.1
269,"2002","06","05","07","10",6172,"6",1,"GA 982508","75","R","whole kernel reject","reject",239,239,0,0,0.2,0.7,0.9
270,"2002","06","05","07","10",3182,"3",1,"AT 201","75","R","whole kernel reject","reject",269.3,269.3,0,0,0.6,3,3.6
271,"2002","06","05","07","10",3382,"3",3,"AT 201","75","R","whole kernel reject","reject",NA,199.9,0,0,0,0,0
272,"2002","06","05","07","10",6272,"6",2,"GA 982508","75","R","whole kernel reject","reject",NA,200.2,0,0,0,0,0
273,"2002","06","05","07","10",2182,"2",1,"AT 201","75","R","whole kernel reject","reject",NA,200,0,0,0,0,0
274,"2002","06","05","07","10",6282,"6",2,"AT 201","75","R","whole kernel reject","reject",NA,199.8,0,0,0,0,0
275,"2002","06","05","07","10",3152,"3",1,"GA Green twin","75","R","whole kernel reject","reject",NA,200.2,0,0,0,0,0
276,"2002","06","05","07","10",6262,"6",2,"GA Green diamond","75","R","whole kernel reject","reject",NA,199.8,0,0,0,0,0
277,"2002","06","05","07","10",3162,"3",1,"GA Green diamond","75","R","whole kernel reject","reject",NA,200,0,0,0,0,0
278,"2002","06","05","07","10",2152,"2",1,"GA Green twin","75","R","whole kernel reject","reject",NA,199.9,0,0,0,0,0
279,"2002","06","05","07","10",6352,"6",3,"GA Green twin","75","R","whole kernel reject","reject",NA,200,0,0,0,0,0
280,"2002","06","05","07","10",6162,"6",1,"GA Green diamond","75","R","whole kernel reject","reject",NA,199.9,0,0,0,0,0
281,"2002","06","05","07","10",3362,"3",3,"GA Green diamond","75","R","whole kernel reject","reject",NA,200,0.4,3.4,0.3,1.8,5.9
282,"2002","06","05","07","10",2352,"2",3,"GA Green twin","75","R","whole kernel reject","reject",NA,200,0,0,0,0,0
283,"2002","06","05","07","10",2162,"2",1,"GA Green diamond","75","R","whole kernel reject","reject",NA,200,0,0,0,0,0
284,"2002","06","05","07","10",2362,"2",3,"GA Green diamond","75","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
285,"2002","06","05","07","10",2252,"2",2,"GA Green twin","75","R","whole kernel reject","reject",NA,200,0,0,0,0,0
286,"2002","06","05","07","10",3352,"3",3,"GA Green twin","75","R","whole kernel reject","reject",NA,200,0,0,0,0,0
287,"2002","06","05","07","10",6362,"6",3,"GA Green diamond","75","R","whole kernel reject","reject",NA,199.9,0,0,0,0,0
288,"2002","06","05","07","10",3252,"3",2,"GA Green twin","75","R","whole kernel reject","reject",NA,199.9,0,0,0,0,0
289,"2002","06","05","07","10",3262,"3",2,"GA Green diamond","75","R","whole kernel reject","reject",NA,199.9,0,0,0,0.2,0.2
290,"2002","06","05","07","10",2262,"2",2,"GA Green diamond","75","R","whole kernel reject","reject",NA,200.1,0,0,0,0,0
291,"2002","06","05","07","10",2362,"2",3,"GA Green diamond","75","R","whole kernel reject","reject",NA,200.1,0,0,0,0,0
292,"2002","06","05","07","10",6152,"6",1,"GA Green twin","75","R","whole kernel reject","reject",NA,200.1,0,0,0,0,0
293,"2002","06","05","07","10",6162,"6",1,"GA Green diamond","75","A","whole kernel accept","premium",NA,200.1,0,0,0,0.1,0.1
294,"2002","06","05","07","10",3272,"3",2,"GA 982508","75","A","whole kernel accept","premium",NA,200,0,0,0,0,0
295,"2002","06","05","07","10",3372,"3",3,"GA 982508","75","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
296,"2002","06","05","07","10",2382,"2",3,"AT 201","75","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
297,"2002","06","05","07","10",3362,"3",3,"GA Green diamond","75","A","whole kernel accept","premium",NA,199.8,0,0,0,0,0
298,"2002","06","05","07","10",2172,"2",1,"GA 982508","75","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
299,"2002","06","05","07","10",6382,"6",3,"AT 201","75","A","whole kernel accept","premium",NA,200.2,4.3,13,13.7,51.3,82.3
300,"2002","06","05","07","10",3382,"3",3,"AT 201","75","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
301,"2002","06","05","07","10",6362,"6",3,"GA Green diamond","75","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
302,"2002","06","05","07","10",6272,"6",2,"GA 982508","75","A","whole kernel accept","premium",NA,200,0,0,0,0,0
303,"2002","06","05","07","10",2282,"2",2,"AT 201","75","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
304,"2002","06","05","07","10",2182,"2",1,"AT 201","75","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
305,"2002","06","05","07","10",2162,"2",1,"GA Green diamond","75","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
306,"2002","06","05","07","10",3262,"3",2,"GA Green diamond","75","A","whole kernel accept","premium",NA,200.2,0,0,0,0,0
307,"2002","06","05","07","10",2262,"2",2,"GA Green diamond","75","A","whole kernel accept","premium",NA,200.1,0,0,0,0,0
308,"2002","06","05","07","10",6282,"6",2,"AT 201","75","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
309,"2002","06","05","07","10",3162,"3",1,"GA Green diamond","75","A","whole kernel accept","premium",NA,200,0,0,0,0,0
310,"2002","06","05","07","10",6262,"6",2,"GA Green diamond","75","A","whole kernel accept","premium",NA,200.1,0,0,0,0,0
311,"2002","06","05","07","10",6172,"6",1,"GA 982508","75","A","whole kernel accept","premium",NA,200.2,0,0,0,0,0
312,"2002","06","05","07","10",3152,"3",1,"GA Green twin","75","A","whole kernel accept","premium",NA,200,0,0,0,0,0
313,"2002","06","05","07","10",6352,"6",3,"GA Green twin","75","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
314,"2002","06","05","07","10",2372,"2",3,"GA 982508","75","A","whole kernel accept","premium",NA,200,0,0,0,0,0
315,"2002","06","05","07","10",3282,"3",2,"AT 201","75","A","whole kernel accept","premium",NA,200,0,0,0,0,0
316,"2002","06","05","07","10",2352,"2",3,"GA Green twin","75","A","whole kernel accept","premium",NA,200.1,0,0,0,0,0
317,"2002","06","05","07","10",2152,"2",1,"GA Green twin","75","A","whole kernel accept","premium",NA,200,0,0,0,0,0
318,"2002","06","05","07","10",3182,"3",1,"AT 201","75","A","whole kernel accept","premium",NA,200,0,0,0,0,0
319,"2002","06","05","07","10",6372,"6",3,"GA 982508","75","A","whole kernel accept","premium",NA,200.1,0,0,0,0,0
320,"2002","06","05","07","10",6182,"6",1,"AT 201","75","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
321,"2002","06","05","07","10",6152,"6",1,"GA Green twin","75","A","whole kernel accept","premium",NA,200.1,0,0,0,0,0
322,"2002","06","05","07","10",6252,"6",2,"GA Green twin","75","A","whole kernel accept","premium",NA,200.1,0,0,0,0,0
323,"2002","06","05","07","10",3252,"3",2,"GA Green twin","75","A","whole kernel accept","premium",NA,200.1,0,0,0,0,0
324,"2002","06","05","07","10",3172,"3",1,"GA 982508","75","A","whole kernel accept","premium",NA,200,0,0,0,0,0
325,"2002","06","05","07","10",3352,"3",3,"GA Green twin","75","A","whole kernel accept","premium",NA,200.1,0,0,0,0,0
326,"2002","06","05","07","10",2272,"2",2,"GA 982508","75","A","whole kernel accept","premium",NA,200,0,0.5,0.1,0.7,1.3
327,"2002","06","05","07","10",6281,"6",2,"AT 201","100","L","loose split kernel reject","reject",66.2,66.2,0,0,0,1.6,1.6
328,"2002","06","05","07","10",3281,"3",2,"AT 201","100","L","loose split kernel reject","reject",26.6,26.6,0,0,0.1,0.6,0.7
329,"2002","06","05","07","10",2281,"2",2,"AT 201","100","L","loose split kernel reject","reject",22.2,22.2,0,0,0.1,1.2,1.3
330,"2002","06","05","07","10",2381,"2",3,"AT 201","100","L","loose split kernel reject","reject",15.1,15.1,0,0,0.1,1.5,1.6
331,"2002","06","05","07","10",3181,"3",1,"AT 201","100","L","loose split kernel reject","reject",24.9,24.9,0.2,1.4,0.4,3.3,5.3
332,"2002","06","05","07","10",2181,"2",1,"AT 201","100","L","loose split kernel reject","reject",22.9,22.9,0,0,0,0.2,0.2
333,"2002","06","05","07","10",6181,"6",1,"AT 201","100","L","loose split kernel reject","reject",29.3,29.3,0,0,0,0.6,0.3
334,"2002","06","05","07","10",6381,"6",3,"AT 201","100","L","loose split kernel reject","reject",33.2,33.2,0,0,0,0,0
335,"2002","06","05","07","10",3381,"3",3,"AT 201","100","L","loose split kernel reject","reject",30.4,30.4,0,0,0,0,0
336,"2002","06","05","07","10",2281,"2",2,"AT 201","100","R","whole kernel reject","reject",NA,200,0,0,0,0,0
337,"2002","06","05","07","10",6381,"6",3,"AT 201","100","R","whole kernel reject","reject",NA,200.1,0,0,0,1.2,1.2
338,"2002","06","05","07","10",2181,"2",1,"AT 201","100","R","whole kernel reject","reject",NA,199.9,0,0,0,0.9,0.9
339,"2002","06","05","07","10",6281,"6",2,"AT 201","100","R","whole kernel reject","reject",NA,200,0,0,0,0,0
340,"2002","06","05","07","10",3281,"3",2,"AT 201","100","R","whole kernel reject","reject",NA,200.2,0,0,0,0.7,0.7
341,"2002","06","05","07","10",3381,"3",3,"AT 201","100","R","whole kernel reject","reject",NA,200,0,0,0,0,0
342,"2002","06","05","07","10",3181,"3",1,"AT 201","100","R","whole kernel reject","reject",NA,200.1,0,0,0,1.4,1.4
343,"2002","06","05","07","10",6181,"6",1,"AT 201","100","R","whole kernel reject","reject",NA,199.9,0,0,0,1.2,1.2
344,"2002","06","05","07","10",2381,"2",3,"AT 201","100","R","whole kernel reject","reject",NA,200,0,0,0,0,0
345,"2002","06","05","07","10",6281,"6",2,"AT 201","100","A","whole kernel accept","premium",NA,200,0,0,0,0.4,0.4
346,"2002","06","05","07","10",3281,"3",2,"AT 201","100","A","whole kernel accept","premium",NA,199.9,0,0,0,0.3,0.3
347,"2002","06","05","07","10",3181,"3",1,"AT 201","100","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
348,"2002","06","05","07","10",2181,"2",1,"AT 201","100","A","whole kernel accept","premium",NA,200,0,0,0,0,0
349,"2002","06","05","07","10",3381,"3",3,"AT 201","100","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
350,"2002","06","05","07","10",2381,"2",3,"AT 201","100","A","whole kernel accept","premium",NA,200.2,0,0,0,0,0
351,"2002","06","05","07","10",2281,"2",2,"AT 201","100","A","whole kernel accept","premium",NA,200,0,0,0,0,0
352,"2002","06","05","07","10",6181,"6",1,"AT 201","100","A","whole kernel accept","premium",NA,200,0,0,0,0,0
353,"2002","06","05","07","10",6381,"6",3,"AT 201","100","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
354,"2003","01","05","11","10",4154,"4",1,"GA Green twin","0","R","whole kernel reject","reject",NA,388.6,0,0,0,0,0
355,"2003","01","05","11","10",4254,"4",2,"GA Green twin","0","R","whole kernel reject","reject",NA,401.2,0,0,0,0,0
356,"2003","01","05","11","10",4354,"4",3,"GA Green twin","0","R","whole kernel reject","reject",NA,426.5,0,0,0,0,0
357,"2003","01","05","11","10",5154,"5",1,"GA Green twin","0","R","whole kernel reject","reject",NA,409.9,0,0,0,0,0
358,"2003","01","05","11","10",5254,"5",2,"GA Green twin","0","R","whole kernel reject","reject",NA,390.1,0,0,0,0,0
359,"2003","01","05","11","10",5354,"5",3,"GA Green twin","0","R","whole kernel reject","reject",NA,452.7,0,0,0,0,0
360,"2003","01","05","11","10",6154,"6",1,"GA Green twin","0","R","whole kernel reject","reject",NA,506.6,0,0,0.3,2.5,2.8
361,"2003","01","05","11","10",6254,"6",2,"GA Green twin","0","R","whole kernel reject","reject",NA,482,0,0,0,0,0
362,"2003","01","05","11","10",6354,"6",3,"GA Green twin","0","R","whole kernel reject","reject",NA,527.6,0,0,0,0,0
363,"2001","26","04","13","10",153,"7",1,"NA","50","A","whole kernel accept","premium",NA,200.1,0,0,0,1,1
364,"2001","26","04","13","10",163,"7",1,"NA","50","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
365,"2001","26","04","13","10",253,"7",2,"NA","50","A","whole kernel accept","premium",NA,200.1,0,0,0,0,0
366,"2001","26","04","13","10",263,"7",2,"NA","50","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
367,"2001","26","04","13","10",353,"7",3,"NA","50","A","whole kernel accept","premium",NA,200,0,0,0,0,0
368,"2001","26","04","13","10",363,"7",3,"NA","50","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
369,"2001","26","04","13","10",154,"7",1,"NA","0","A","whole kernel accept","premium",NA,199.9,2.2,34.8,1.5,25,63.4
370,"2001","26","04","13","10",164,"7",1,"NA","0","A","whole kernel accept","premium",NA,200,11.4,85.7,17.8,173.9,288.8
371,"2001","26","04","13","10",254,"7",2,"NA","0","A","whole kernel accept","premium",NA,200,0,0,0,0,0
372,"2001","26","04","13","10",264,"7",2,"NA","0","A","whole kernel accept","premium",NA,199.9,0.9,6,0.5,3.1,10.5
373,"2001","26","04","13","10",354,"7",3,"NA","0","A","whole kernel accept","premium",NA,200,0,0,0,0,0
374,"2001","26","04","13","10",364,"7",3,"NA","0","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
375,"2001","26","04","13","10",153,"7",1,"NA","50","R","whole kernel reject","reject",NA,200.2,0,0,0,0,0
376,"2001","26","04","13","10",163,"7",1,"NA","50","R","whole kernel reject","reject",NA,200.1,0,0,0,0,0
377,"2001","26","04","13","10",253,"7",2,"NA","50","R","whole kernel reject","reject",NA,275,0,0,0,0,0
378,"2001","26","04","13","10",263,"7",2,"NA","50","R","whole kernel reject","reject",NA,200.2,0,0,0,0,0
379,"2001","26","04","13","10",353,"7",3,"NA","50","R","whole kernel reject","reject",NA,266.3,0,5.1,0,0,5.1
380,"2001","26","04","13","10",363,"7",3,"NA","50","R","whole kernel reject","reject",NA,199.8,0,0,0,0,0
381,"2001","26","04","13","10",154,"7",1,"NA","0","R","whole kernel reject","reject",NA,200,5.7,45.4,41.6,368.6,461.3
382,"2001","26","04","13","10",164,"7",1,"NA","0","R","whole kernel reject","reject",NA,199.9,98.9,540,86.6,710.4,1435.9
383,"2001","26","04","13","10",254,"7",2,"NA","0","R","whole kernel reject","reject",NA,199.8,4.1,44.3,6.1,66.1,120.6
384,"2001","26","04","13","10",264,"7",2,"NA","0","R","whole kernel reject","reject",NA,199.9,73.3,562.6,87.7,544.7,1268.3
385,"2001","26","04","13","10",354,"7",3,"NA","0","R","whole kernel reject","reject",NA,260.2,0,0,0,0,0
386,"2001","26","04","13","10",364,"7",3,"NA","0","R","whole kernel reject","reject",NA,264.1,0,0,72,949.3,1021.3
387,"2010","03","05","13","09",1154,"1",1,"GA Green twin","0","Jum","whole kernel jumbo","premium",NA,133.2,0,0,0,0,0
388,"2010","03","05","13","09",1154,"1",1,"GA Green twin","0","Med","whole kernel medium ","premium",NA,183.3,0,0,0,0,0
389,"2010","03","05","13","09",1154,"1",1,"GA Green twin","0","No 1","whole kernel number 1","premium",NA,37.1,0,0,0,0,0
390,"2010","03","05","13","09",1154,"1",1,"GA Green twin","0","Splits","split kernel","accept",NA,12.1,0,0,0,0,0
391,"2010","03","05","13","09",1154,"1",1,"GA Green twin","0","LSK  J","loose split kernel jumbo","accept",NA,27.6,0,0,0,0,0
392,"2010","03","05","13","09",1154,"1",1,"GA Green twin","0","LSK  M","loose split kernel medium","accept",NA,33.3,0,0,0,0,0
393,"2010","03","05","13","09",1154,"1",1,"GA Green twin","0","OS","other splits","reject",NA,55.3,0,0,1.2654,2.0658,3.3312
394,"2010","03","05","13","09",1174,"1",1,"GA 982508","0","Jum","whole kernel jumbo","premium",NA,138.1,0,0,0,0,0
395,"2010","03","05","13","09",1174,"1",1,"GA 982508","0","Med","whole kernel medium ","premium",NA,171.3,0,0,0,0,0
396,"2010","03","05","13","09",1174,"1",1,"GA 982508","0","No 1","whole kernel number 1","premium",NA,35.2,0,0,0,0,0
397,"2010","03","05","13","09",1174,"1",1,"GA 982508","0","Splits","split kernel","accept",NA,11.1,0,0,0,0,0
398,"2010","03","05","13","09",1174,"1",1,"GA 982508","0","LSK  J","loose split kernel jumbo","accept",NA,18.5,0,0,0,0,0
399,"2010","03","05","13","09",1174,"1",1,"GA 982508","0","LSK  M","loose split kernel medium","accept",NA,10.8,0,0,0,0,0
400,"2010","03","05","13","09",1174,"1",1,"GA 982508","0","OS","other splits","reject",NA,57.5,0,0,0.9235,1.1256,2.0491
401,"2010","03","05","13","09",1254,"1",2,"GA Green twin","0","Jum","whole kernel jumbo","premium",NA,115.3,0,0,0,0,0
402,"2010","03","05","13","09",1254,"1",2,"GA Green twin","0","Med","whole kernel medium ","premium",NA,182.5,0,0,0,0,0
403,"2010","03","05","13","09",1254,"1",2,"GA Green twin","0","No 1","whole kernel number 1","premium",NA,31.5,0,0,0,0,0
404,"2010","03","05","13","09",1254,"1",2,"GA Green twin","0","Splits","split kernel","accept",NA,13,0,0,0,0,0
405,"2010","03","05","13","09",1254,"1",2,"GA Green twin","0","LSK  J","loose split kernel jumbo","accept",NA,39.2,0,0,0,0,0
406,"2010","03","05","13","09",1254,"1",2,"GA Green twin","0","LSK  M","loose split kernel medium","accept",NA,42.6,0,0,0,0,0
407,"2010","03","05","13","09",1254,"1",2,"GA Green twin","0","OS","other splits","reject",NA,73.1,0,0,0,0,0
408,"2010","03","05","13","09",1274,"1",2,"GA 982508","0","Jum","whole kernel jumbo","premium",NA,113.1,0,0,0,0,0
409,"2010","03","05","13","09",1274,"1",2,"GA 982508","0","Med","whole kernel medium ","premium",NA,156,0,0,0,0,0
410,"2010","03","05","13","09",1274,"1",2,"GA 982508","0","No 1","whole kernel number 1","premium",NA,49.2,0,0,0,0,0
411,"2010","03","05","13","09",1274,"1",2,"GA 982508","0","Splits","split kernel","accept",NA,17.5,0,0,0,0,0
412,"2010","03","05","13","09",1274,"1",2,"GA 982508","0","LSK  J","loose split kernel jumbo","accept",NA,40.6,0,0,0,0,0
413,"2010","03","05","13","09",1274,"1",2,"GA 982508","0","LSK  M","loose split kernel medium","accept",NA,20.1,0,0,0,0,0
414,"2010","03","05","13","09",1274,"1",2,"GA 982508","0","OS","other splits","reject",NA,12.3,0,0,0,0,0
415,"2010","03","05","13","09",1354,"1",3,"GA Green twin","0","Jum","whole kernel jumbo","premium",NA,125.6,0,0,0,0,0
416,"2010","03","05","13","09",1354,"1",3,"GA Green twin","0","Med","whole kernel medium ","premium",NA,175.4,0,0,0,0,0
