"Sample_no","Year","Planting_day","Planting_month","Harvest_day","Harvest_month","Treatment_Code","Rotation","Rep","Variety","Irrigation","Quality_short","Quality_long","Acceptance","Orig_Weight","Weight","AFG2","AFG1","AFB2","AFB1","AFTotal"
46,"2002","06","05","07","10",2254,"2",2,"GA Green twin","0","LA","loose split kernel accept","accept",29.7,29.7,0,0,0.6,4.2,4.8
47,"2002","06","05","07","10",2364,"2",3,"GA Green diamond","0","LA","loose split kernel accept","accept",51.8,51.8,0,0,0.1,0.5,0.6
48,"2002","06","05","07","10",3184,"3",1,"AT 201","0","R","whole kernel reject","reject",NA,200,0.7,2.2,26.6,139.9,169.4
49,"2002","06","05","07","10",2374,"2",3,"GA 982508","0","R","whole kernel reject","reject",NA,199.8,0,0,0.1,0.6,0.7
50,"2002","06","05","07","10",6274,"6",2,"GA 982508","0","R","whole kernel reject","reject",NA,199.9,0,0,60.6,480.4,541
51,"2002","06","05","07","10",3374,"3",3,"GA 982508","0","R","whole kernel reject","reject",NA,200.2,0,0,0.6,4.5,5.1
52,"2002","06","05","07","10",6174,"6",1,"GA 982508","0","R","whole kernel reject","reject",NA,199.9,0,0,3.7,33.8,37.5
53,"2002","06","05","07","10",3174,"3",1,"GA 982508","0","R","whole kernel reject","reject",NA,200,0,0,17.2,154.4,171.6
54,"2002","06","05","07","10",6384,"6",3,"AT 201","0","R","whole kernel reject","reject",NA,200,3.8,11.5,35.7,246.3,297.3
55,"2002","06","05","07","10",3384,"3",3,"AT 201","0","R","whole kernel reject","reject",NA,199.9,5.3,15.8,540.4,3523.5,4085
56,"2002","06","05","07","10",6284,"6",2,"AT 201","0","R","whole kernel reject","reject",NA,200,197.6,625.6,401.3,2120.9,3345.3
57,"2002","06","05","07","10",2174,"2",1,"GA 982508","0","R","whole kernel reject","reject",NA,199.9,0,0,5.5,32.2,37.7
58,"2002","06","05","07","10",3284,"3",2,"AT 201","0","R","whole kernel reject","reject",NA,199.9,32.7,150.7,65.9,393.7,643
59,"2002","06","05","07","10",3274,"3",2,"GA 982508","0","R","whole kernel reject","reject",NA,200,0,0,0,0.1,0.1
60,"2002","06","05","07","10",2274,"2",2,"GA 982508","0","R","whole kernel reject","reject",NA,200,0,0,0,0.5,0.5
61,"2002","06","05","07","10",6374,"6",3,"GA 982508","0","R","whole kernel reject","reject",NA,200,0,0,0.1,0.7,0.8
62,"2002","06","05","07","10",2384,"2",3,"AT 201","0","R","whole kernel reject","reject",NA,199.9,66.7,200,518.6,2964.6,3749.8
63,"2002","06","05","07","10",6184,"6",1,"AT 201","0","R","whole kernel reject","reject",NA,200.2,0,4.3,381.5,3514.1,3899.9
64,"2002","06","05","07","10",2284,"2",2,"AT 201","0","R","whole kernel reject","reject",NA,200.2,4.4,13.3,567.7,3227.4,3812.8
65,"2002","06","05","07","10",2184,"2",1,"AT 201","0","R","whole kernel reject","reject",NA,200.1,0,0,27.5,204.3,231.8
66,"2002","06","05","07","10",3274,"3",2,"GA 982508","0","LA","loose split kernel accept","accept",32.1,32.1,0,0,0.1,0.9,1
67,"2002","06","05","07","10",6374,"6",3,"GA 982508","0","LA","loose split kernel accept","accept",43.7,43.7,0,0,0.2,2.5,2.7
68,"2002","06","05","07","10",6184,"6",1,"AT 201","0","LA","loose split kernel accept","accept",71.9,71.9,1.4,4.3,180,913.9,1099.6
69,"2002","06","05","07","10",6174,"6",1,"GA 982508","0","LA","loose split kernel accept","accept",75.7,75.7,0,0,0,0.3,0.3
70,"2002","06","05","07","10",2174,"2",1,"GA 982508","0","LA","loose split kernel accept","accept",38.8,38.8,0,0,0.1,3,3.1
71,"2002","06","05","07","10",6384,"6",3,"AT 201","0","LA","loose split kernel accept","accept",48.2,48.2,0.9,2.8,59.5,340.3,403.5
72,"2002","06","05","07","10",2384,"2",3,"AT 201","0","LA","loose split kernel accept","accept",33.4,33.4,131,403,762.4,4546.3,5842.7
