"ï..Sample_no","Planting_Date","Harvest_Date","Analysis_Date","Rotation","Rep","Variety","Irrigation","Treatment_Code","Quality_short","Quality_long","Acceptance","Orig_Weight","Weight","AT.G2","At.G1","AT.B2","AT.B1","AT.Total"
172,"06-05-2002","07-10-2002","13-02-2003","3",1,"AT 201","50",3183,"LA","loose split kernel accept","accept",35.4,35.4,0,0,0.9,6.8,7.7
173,"06-05-2002","07-10-2002","13-02-2003","6",3,"AT 201","50",6383,"LA","loose split kernel accept","accept",30.5,30.5,0,0,0,0.2,0.2
174,"06-05-2002","07-10-2002","13-02-2003","2",3,"GA 982508","50",2373,"LA","loose split kernel accept","accept",18.4,18.4,0,0,0,1.7,1.7
175,"06-05-2002","07-10-2002","13-02-2003","6",2,"AT 201","50",6283,"LA","loose split kernel accept","accept",50.9,50.9,0,0,0,0.3,0.3
176,"06-05-2002","07-10-2002","14-02-2003","6",3,"GA 982508","50",6373,"LA","loose split kernel accept","accept",44,44,0,0,0,0.1,0.1
177,"06-05-2002","07-10-2002","14-02-2003","3",3,"GA 982508","50",3373,"LA","loose split kernel accept","accept",26.1,26.1,0,0,0.3,2.1,2.4
178,"06-05-2002","07-10-2002","14-02-2003","2",1,"AT 201","50",2183,"LA","loose split kernel accept","accept",32.7,32.7,0,0,0,0.3,0.3
179,"06-05-2002","07-10-2002","14-02-2003","3",3,"AT 201","50",3383,"LA","loose split kernel accept","accept",44.6,44.6,0,0,0,0.4,0.4
180,"06-05-2002","07-10-2002","14-02-2003","6",1,"AT 201","50",6183,"LA","loose split kernel accept","accept",37.2,37.2,0,0,0,0.2,0.2
181,"06-05-2002","07-10-2002","14-02-2003","2",1,"GA 982508","50",2173,"LA","loose split kernel accept","accept",37.3,37.3,0,0,0,0.2,0.2
182,"06-05-2002","07-10-2002","14-02-2003","6",1,"GA 982508","50",6173,"LA","loose split kernel accept","accept",32,32,0,0,0,0.3,0.3
183,"06-05-2002","07-10-2002","14-02-2003","2",2,"GA 982508","50",2273,"LA","loose split kernel accept","accept",13,13,0,0,0.1,1.3,1.4
184,"06-05-2002","07-10-2002","14-02-2003","2",2,"AT 201","50",2283,"LA","loose split kernel accept","accept",40.5,40.5,0.4,1.1,6.1,25.7,33.3
185,"06-05-2002","07-10-2002","14-02-2003","3",1,"GA Green twin","50",3153,"A","whole kernel accept","accept",NA,200.1,0,0,0,0,0
186,"06-05-2002","07-10-2002","14-02-2003","6",1,"GA 982508","50",6173,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
187,"06-05-2002","07-10-2002","14-02-2003","2",1,"GA Green diamond","50",2163,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
188,"06-05-2002","07-10-2002","14-02-2003","3",2,"GA Green diamond","50",3263,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
189,"06-05-2002","07-10-2002","14-02-2003","6",1,"GA Green twin","50",6153,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
190,"06-05-2002","07-10-2002","14-02-2003","6",3,"GA Green diamond","50",6363,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
191,"06-05-2002","07-10-2002","14-02-2003","3",3,"GA Green twin","50",3353,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
192,"06-05-2002","07-10-2002","14-02-2003","2",1,"GA Green twin","50",2153,"A","whole kernel accept","accept",NA,200.1,0,0,0,0,0
193,"06-05-2002","07-10-2002","14-02-2003","6",3,"GA Green twin","50",6353,"A","whole kernel accept","accept",NA,200.2,0,0,0,0,0
194,"06-05-2002","07-10-2002","14-02-2003","3",1,"GA 982508","50",3173,"A","whole kernel accept","accept",NA,200.2,0,0,0,0.1,0.1
195,"06-05-2002","07-10-2002","14-02-2003","2",3,"GA Green diamond","50",2363,"A","whole kernel accept","accept",NA,200.2,0,0,0,0.1,0.1
196,"06-05-2002","07-10-2002","14-02-2003","6",2,"GA Green diamond","50",6263,"A","whole kernel accept","accept",NA,199.9,0,0,0,0.1,0.1
197,"06-05-2002","07-10-2002","14-02-2003","6",1,"GA Green diamond","50",6163,"A","whole kernel accept","accept",NA,199.8,0,0,0,0,0
198,"06-05-2002","07-10-2002","14-02-2003","2",2,"GA 982508","50",2273,"A","whole kernel accept","accept",NA,199.8,0,0,0.1,0.4,0.5
199,"06-05-2002","07-10-2002","14-02-2003","3",3,"GA Green diamond","50",3363,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
200,"06-05-2002","07-10-2002","14-02-2003","2",3,"AT 201","50",2383,"A","whole kernel accept","accept",NA,200.2,0,0,0,0.3,0.3
201,"06-05-2002","07-10-2002","14-02-2003","2",2,"GA Green diamond","50",2263,"A","whole kernel accept","accept",NA,199.8,0,0,0,0,0
202,"06-05-2002","07-10-2002","14-02-2003","6",2,"AT 201","50",6283,"A","whole kernel accept","accept",NA,200.2,0,0,0,0.2,0.2
203,"06-05-2002","07-10-2002","18-02-2003","3",3,"AT 201","50",3383,"A","whole kernel accept","accept",NA,199.9,0,0,2,13.4,15.4
204,"06-05-2002","07-10-2002","18-02-2003","6",1,"AT 201","50",6183,"A","whole kernel accept","accept",NA,200.1,0,0,0.2,1.3,1.5
205,"06-05-2002","07-10-2002","18-02-2003","6",3,"GA 982508","50",6373,"A","whole kernel accept","accept",NA,199.9,0,0,0,0.2,0.2
206,"06-05-2002","07-10-2002","18-02-2003","3",2,"GA 982508","50",3273,"A","whole kernel accept","accept",NA,199.9,0,0,0,0.3,0.3
207,"06-05-2002","07-10-2002","18-02-2003","3",3,"GA 982508","50",3373,"A","whole kernel accept","accept",NA,199.9,0,0,0,0.1,0.1
208,"06-05-2002","07-10-2002","18-02-2003","6",2,"GA 982508","50",6273,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
209,"06-05-2002","07-10-2002","18-02-2003","2",2,"AT 201","50",2283,"A","whole kernel accept","accept",NA,200.1,0,0,0,0.2,0.2
210,"06-05-2002","07-10-2002","18-02-2003","3",1,"GA Green diamond","50",3163,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
211,"06-05-2002","07-10-2002","18-02-2003","2",3,"GA 982508","50",2373,"A","whole kernel accept","accept",NA,200.1,0,0,0,0.4,0.4
212,"06-05-2002","07-10-2002","18-02-2003","6",2,"GA Green twin","50",6253,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
213,"06-05-2002","07-10-2002","18-02-2003","2",3,"GA Green twin","50",2353,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
214,"06-05-2002","07-10-2002","18-02-2003","3",1,"AT 201","50",3183,"A","whole kernel accept","accept",NA,199.9,0,0,0.1,0.2,0.3
215,"06-05-2002","07-10-2002","18-02-2003","3",2,"GA Green twin","50",3253,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
216,"06-05-2002","07-10-2002","18-02-2003","2",1,"AT 201","50",2183,"A","whole kernel accept","accept",NA,200,0,0,0,0.1,0.1
217,"06-05-2002","07-10-2002","18-02-2003","3",2,"AT 201","50",3283,"A","whole kernel accept","accept",NA,200,0,0,0,0.1,0.1
218,"06-05-2002","07-10-2002","18-02-2003","2",1,"GA 982508","50",2173,"A","whole kernel accept","accept",NA,200,0,0,0,0.2,0.2
219,"06-05-2002","07-10-2002","18-02-2003","2",2,"GA Green twin","50",2253,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
220,"06-05-2002","07-10-2002","18-02-2003","6",3,"AT 201","50",6383,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
221,"06-05-2002","07-10-2002","18-02-2003","3",2,"GA Green twin","75",3252,"LA","loose split kernel accept","accept",21.5,21.5,0,0,0,0.5,0.5
222,"06-05-2002","07-10-2002","18-02-2003","2",3,"GA Green twin","75",2352,"LA","loose split kernel accept","accept",30.8,30.8,0,0,0,0.5,0.5
223,"06-05-2002","07-10-2002","18-02-2003","6",1,"GA Green diamond","75",6162,"LA","loose split kernel accept","accept",29.5,29.5,0,0,0.1,1.2,1.3
224,"06-05-2002","07-10-2002","18-02-2003","2",2,"GA Green twin","75",2252,"LA","loose split kernel accept","accept",33.4,33.4,0,0,0,0,0
225,"06-05-2002","07-10-2002","18-02-2003","2",3,"GA Green diamond","75",2362,"LA","loose split kernel accept","accept",32.2,32.2,0,0,0,0.1,0.1
226,"06-05-2002","07-10-2002","18-02-2003","3",3,"GA Green twin","75",3352,"LA","loose split kernel accept","accept",27.6,27.6,0,0,0.1,0.7,0.8
227,"06-05-2002","07-10-2002","18-02-2003","2",1,"GA Green diamond","75",2162,"LA","loose split kernel accept","accept",14,14,0,0,0.6,4.7,5.3
228,"06-05-2002","07-10-2002","18-02-2003","2",2,"GA Green diamond","75",2262,"LA","loose split kernel accept","accept",18.8,18.8,0,0,0.7,4.7,5.4
229,"06-05-2002","07-10-2002","18-02-2003","6",2,"GA Green diamond","75",6262,"LA","loose split kernel accept","accept",41.2,41.2,0,0,0,0.2,0.2
230,"06-05-2002","07-10-2002","18-02-2003","2",1,"GA Green twin","75",2152,"LA","loose split kernel accept","accept",33.8,33.8,0,0,0,0.3,0.3
231,"06-05-2002","07-10-2002","18-02-2003","6",3,"GA Green diamond","75",6362,"LA","loose split kernel accept","accept",46.2,46.2,0,0,0,0.1,0.1
232,"06-05-2002","07-10-2002","18-02-2003","6",2,"GA Green twin","75",6252,"LA","loose split kernel accept","accept",36.1,36.1,0,0,0,0,0
233,"06-05-2002","07-10-2002","18-02-2003","3",3,"GA Green diamond","75",3362,"LA","loose split kernel accept","accept",29.9,29.9,0,0,0.2,1.8,2
234,"06-05-2002","07-10-2002","18-02-2003","3",2,"GA Green diamond","75",3262,"LA","loose split kernel accept","accept",27.7,27.7,0,0,0.1,0.6,0.7
235,"06-05-2002","07-10-2002","18-02-2003","3",1,"GA Green diamond","75",3162,"LA","loose split kernel accept","accept",14.8,14.8,0,0,0.2,2,2.2
236,"06-05-2002","07-10-2002","18-02-2003","6",1,"GA Green twin","75",6152,"LA","loose split kernel accept","accept",34.5,34.5,0,0,0,0.1,0.1
237,"06-05-2002","07-10-2002","18-02-2003","6",3,"GA Green twin","75",6352,"LA","loose split kernel accept","accept",37.6,37.6,0,0,0,0.3,0.3
238,"06-05-2002","07-10-2002","18-02-2003","3",1,"GA Green twin","75",3152,"LA","loose split kernel accept","accept",27.4,27.4,0,0,0.5,3.5,4
239,"06-05-2002","07-10-2002","19-02-2003","6",2,"AT 201","75",6282,"L","loose split kernel reject","reject",76.4,76.4,0,0,0,0,0
240,"06-05-2002","07-10-2002","19-02-2003","3",3,"AT 201","75",3382,"L","loose split kernel reject","reject",33.9,33.9,0,0,0,0.3,0.3
241,"06-05-2002","07-10-2002","19-02-2003","2",2,"GA 982508","75",2272,"L","loose split kernel reject","reject",47,47,0,0,0,0,0
242,"06-05-2002","07-10-2002","19-02-2003","6",1,"GA 982508","75",6172,"L","loose split kernel reject","reject",19.9,19.9,0,0,0.2,1.4,1.6
243,"06-05-2002","07-10-2002","19-02-2003","3",1,"GA 982508","75",3172,"L","loose split kernel reject","reject",43.6,43.6,0,0,0,0.2,0.2
244,"06-05-2002","07-10-2002","19-02-2003","6",3,"AT 201","75",6382,"L","loose split kernel reject","reject",34.9,34.9,0.2,0.7,15.8,99.7,116.4
245,"06-05-2002","07-10-2002","19-02-2003","3",2,"AT 201","75",3282,"L","loose split kernel reject","reject",17.9,17.9,0,0,0.1,1.3,1.4
246,"06-05-2002","07-10-2002","19-02-2003","6",2,"GA 982508","75",6272,"L","loose split kernel reject","reject",29.6,29.6,0,0,0.1,0.7,0.8
247,"06-05-2002","07-10-2002","19-02-2003","2",3,"AT 201","75",2382,"L","loose split kernel reject","reject",36.1,36.1,0,0,0,0.4,0.4
248,"06-05-2002","07-10-2002","19-02-2003","6",3,"GA 982508","75",6372,"L","loose split kernel reject","reject",99.9,99.9,0,0,0,0,0
249,"06-05-2002","07-10-2002","19-02-2003","3",2,"GA 982508","75",3272,"L","loose split kernel reject","reject",27.3,27.3,0,0,0.1,1.2,1.3
250,"06-05-2002","07-10-2002","19-02-2003","3",3,"GA 982508","75",3372,"L","loose split kernel reject","reject",24.9,24.9,0,0,0.3,2,2.3
251,"06-05-2002","07-10-2002","19-02-2003","3",1,"AT 201","75",3182,"L","loose split kernel reject","reject",36.4,36.4,0,0,0,0.1,0.1
252,"06-05-2002","07-10-2002","19-02-2003","2",2,"AT 201","75",2282,"L","loose split kernel reject","reject",22.4,22.4,0,0,0.1,0.7,0.8
253,"06-05-2002","07-10-2002","19-02-2003","2",1,"AT 201","75",2182,"L","loose split kernel reject","reject",52.2,52.2,0,0,1.2,6,7.2
254,"06-05-2002","07-10-2002","19-02-2003","2",3,"GA 982508","75",2372,"L","loose split kernel reject","reject",24.8,24.8,0,0,0.2,1.6,1.8
255,"06-05-2002","07-10-2002","19-02-2003","2",1,"GA 982508","75",2172,"L","loose split kernel reject","reject",30,30,0,0,0.1,1.1,1.2
256,"06-05-2002","07-10-2002","19-02-2003","6",1,"AT 201","75",6182,"L","loose split kernel reject","reject",43.6,43.6,0,0,0,0,0
257,"06-05-2002","07-10-2002","19-02-2003","2",2,"AT 201","75",2282,"R","whole kernel reject","reject",257.7,257.7,0,0,0,0.1,0.1
258,"06-05-2002","07-10-2002","19-02-2003","2",3,"GA 982508","75",2372,"R","whole kernel reject","reject",239.8,239.8,0,0,0,0.1,0.1
259,"06-05-2002","07-10-2002","19-02-2003","3",3,"GA 982508","75",3372,"R","whole kernel reject","reject",225.7,225.7,0,0,0,0.3,0.3
260,"06-05-2002","07-10-2002","19-02-2003","3",2,"AT 201","75",3282,"R","whole kernel reject","reject",258.5,258.5,0,0,0.5,2.6,3.1
261,"06-05-2002","07-10-2002","19-02-2003","6",3,"GA 982508","75",6372,"R","whole kernel reject","reject",250,250,0,0,0,0.1,0.1
262,"06-05-2002","07-10-2002","19-02-2003","2",3,"AT 201","75",2382,"R","whole kernel reject","reject",290.2,290.2,0,0,0,0.2,0.2
263,"06-05-2002","07-10-2002","19-02-2003","6",3,"AT 201","75",6382,"R","whole kernel reject","reject",281.9,281.9,0,0,294.9,1179.5,1474.4
264,"06-05-2002","07-10-2002","19-02-2003","2",1,"GA 982508","75",2172,"R","whole kernel reject","reject",235.9,235.9,0,0,0,0,0
265,"06-05-2002","07-10-2002","19-02-2003","3",2,"GA 982508","75",3272,"R","whole kernel reject","reject",212.2,212.2,0,0,0,0,0
266,"06-05-2002","07-10-2002","19-02-2003","2",2,"GA 982508","75",2272,"R","whole kernel reject","reject",218.3,218.3,0,0,0.7,3.5,4.2
267,"06-05-2002","07-10-2002","19-02-2003","3",1,"GA 982508","75",3172,"R","whole kernel reject","reject",217.7,217.7,0,0,0,0,0
268,"06-05-2002","07-10-2002","19-02-2003","6",1,"AT 201","75",6182,"R","whole kernel reject","reject",278.6,278.6,0,0,0,0.1,0.1
269,"06-05-2002","07-10-2002","19-02-2003","6",1,"GA 982508","75",6172,"R","whole kernel reject","reject",239,239,0,0,0.2,0.7,0.9
270,"06-05-2002","07-10-2002","19-02-2003","3",1,"AT 201","75",3182,"R","whole kernel reject","reject",269.3,269.3,0,0,0.6,3,3.6
271,"06-05-2002","07-10-2002","19-02-2003","3",3,"AT 201","75",3382,"R","whole kernel reject","reject",NA,199.9,0,0,0,0,0
272,"06-05-2002","07-10-2002","19-02-2003","6",2,"GA 982508","75",6272,"R","whole kernel reject","reject",NA,200.2,0,0,0,0,0
273,"06-05-2002","07-10-2002","19-02-2003","2",1,"AT 201","75",2182,"R","whole kernel reject","reject",NA,200,0,0,0,0,0
274,"06-05-2002","07-10-2002","19-02-2003","6",2,"AT 201","75",6282,"R","whole kernel reject","reject",NA,199.8,0,0,0,0,0
275,"06-05-2002","07-10-2002","19-02-2003","3",1,"GA Green twin","75",3152,"R","whole kernel reject","reject",NA,200.2,0,0,0,0,0
276,"06-05-2002","07-10-2002","19-02-2003","6",2,"GA Green diamond","75",6262,"R","whole kernel reject","reject",NA,199.8,0,0,0,0,0
277,"06-05-2002","07-10-2002","19-02-2003","3",1,"GA Green diamond","75",3162,"R","whole kernel reject","reject",NA,200,0,0,0,0,0
278,"06-05-2002","07-10-2002","19-02-2003","2",1,"GA Green twin","75",2152,"R","whole kernel reject","reject",NA,199.9,0,0,0,0,0
279,"06-05-2002","07-10-2002","19-02-2003","6",3,"GA Green twin","75",6352,"R","whole kernel reject","reject",NA,200,0,0,0,0,0
280,"06-05-2002","07-10-2002","19-02-2003","6",1,"GA Green diamond","75",6162,"R","whole kernel reject","reject",NA,199.9,0,0,0,0,0
281,"06-05-2002","07-10-2002","19-02-2003","3",3,"GA Green diamond","75",3362,"R","whole kernel reject","reject",NA,200,0.4,3.4,0.3,1.8,5.9
282,"06-05-2002","07-10-2002","19-02-2003","2",3,"GA Green twin","75",2352,"R","whole kernel reject","reject",NA,200,0,0,0,0,0
283,"06-05-2002","07-10-2002","19-02-2003","2",1,"GA Green diamond","75",2162,"R","whole kernel reject","reject",NA,200,0,0,0,0,0
284,"06-05-2002","07-10-2002","19-02-2003","2",3,"GA Green diamond","75",2362,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
285,"06-05-2002","07-10-2002","19-02-2003","2",2,"GA Green twin","75",2252,"R","whole kernel reject","reject",NA,200,0,0,0,0,0
286,"06-05-2002","07-10-2002","19-02-2003","3",3,"GA Green twin","75",3352,"R","whole kernel reject","reject",NA,200,0,0,0,0,0
287,"06-05-2002","07-10-2002","19-02-2003","6",3,"GA Green diamond","75",6362,"R","whole kernel reject","reject",NA,199.9,0,0,0,0,0
288,"06-05-2002","07-10-2002","19-02-2003","3",2,"GA Green twin","75",3252,"R","whole kernel reject","reject",NA,199.9,0,0,0,0,0
289,"06-05-2002","07-10-2002","19-02-2003","3",2,"GA Green diamond","75",3262,"R","whole kernel reject","reject",NA,199.9,0,0,0,0.2,0.2
290,"06-05-2002","07-10-2002","19-02-2003","2",2,"GA Green diamond","75",2262,"R","whole kernel reject","reject",NA,200.1,0,0,0,0,0
291,"06-05-2002","07-10-2002","19-02-2003","2",3,"GA Green diamond","75",2362,"R","whole kernel reject","reject",NA,200.1,0,0,0,0,0
292,"06-05-2002","07-10-2002","19-02-2003","6",1,"GA Green twin","75",6152,"R","whole kernel reject","reject",NA,200.1,0,0,0,0,0
293,"06-05-2002","07-10-2002","19-02-2003","6",1,"GA Green diamond","75",6162,"A","whole kernel accept","accept",NA,200.1,0,0,0,0.1,0.1
294,"06-05-2002","07-10-2002","19-02-2003","3",2,"GA 982508","75",3272,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
295,"06-05-2002","07-10-2002","19-02-2003","3",3,"GA 982508","75",3372,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
296,"06-05-2002","07-10-2002","19-02-2003","2",3,"AT 201","75",2382,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
297,"06-05-2002","07-10-2002","19-02-2003","3",3,"GA Green diamond","75",3362,"A","whole kernel accept","accept",NA,199.8,0,0,0,0,0
298,"06-05-2002","07-10-2002","19-02-2003","2",1,"GA 982508","75",2172,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
299,"06-05-2002","07-10-2002","19-02-2003","6",3,"AT 201","75",6382,"A","whole kernel accept","accept",NA,200.2,4.3,13,13.7,51.3,82.3
300,"06-05-2002","07-10-2002","19-02-2003","3",3,"AT 201","75",3382,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
301,"06-05-2002","07-10-2002","19-02-2003","6",3,"GA Green diamond","75",6362,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
302,"06-05-2002","07-10-2002","20-02-2003","6",2,"GA 982508","75",6272,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
303,"06-05-2002","07-10-2002","20-02-2003","2",2,"AT 201","75",2282,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
304,"06-05-2002","07-10-2002","20-02-2003","2",1,"AT 201","75",2182,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
305,"06-05-2002","07-10-2002","20-02-2003","2",1,"GA Green diamond","75",2162,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
306,"06-05-2002","07-10-2002","20-02-2003","3",2,"GA Green diamond","75",3262,"A","whole kernel accept","accept",NA,200.2,0,0,0,0,0
307,"06-05-2002","07-10-2002","20-02-2003","2",2,"GA Green diamond","75",2262,"A","whole kernel accept","accept",NA,200.1,0,0,0,0,0
308,"06-05-2002","07-10-2002","20-02-2003","6",2,"AT 201","75",6282,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
309,"06-05-2002","07-10-2002","20-02-2003","3",1,"GA Green diamond","75",3162,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
310,"06-05-2002","07-10-2002","20-02-2003","6",2,"GA Green diamond","75",6262,"A","whole kernel accept","accept",NA,200.1,0,0,0,0,0
311,"06-05-2002","07-10-2002","20-02-2003","6",1,"GA 982508","75",6172,"A","whole kernel accept","accept",NA,200.2,0,0,0,0,0
312,"06-05-2002","07-10-2002","20-02-2003","3",1,"GA Green twin","75",3152,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
313,"06-05-2002","07-10-2002","20-02-2003","6",3,"GA Green twin","75",6352,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
314,"06-05-2002","07-10-2002","20-02-2003","2",3,"GA 982508","75",2372,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
315,"06-05-2002","07-10-2002","20-02-2003","3",2,"AT 201","75",3282,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
316,"06-05-2002","07-10-2002","20-02-2003","2",3,"GA Green twin","75",2352,"A","whole kernel accept","accept",NA,200.1,0,0,0,0,0
317,"06-05-2002","07-10-2002","20-02-2003","2",1,"GA Green twin","75",2152,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
318,"06-05-2002","07-10-2002","20-02-2003","3",1,"AT 201","75",3182,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
319,"06-05-2002","07-10-2002","20-02-2003","6",3,"GA 982508","75",6372,"A","whole kernel accept","accept",NA,200.1,0,0,0,0,0
320,"06-05-2002","07-10-2002","20-02-2003","6",1,"AT 201","75",6182,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
321,"06-05-2002","07-10-2002","20-02-2003","6",1,"GA Green twin","75",6152,"A","whole kernel accept","accept",NA,200.1,0,0,0,0,0
322,"06-05-2002","07-10-2002","20-02-2003","6",2,"GA Green twin","75",6252,"A","whole kernel accept","accept",NA,200.1,0,0,0,0,0
323,"06-05-2002","07-10-2002","20-02-2003","3",2,"GA Green twin","75",3252,"A","whole kernel accept","accept",NA,200.1,0,0,0,0,0
324,"06-05-2002","07-10-2002","20-02-2003","3",1,"GA 982508","75",3172,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
325,"06-05-2002","07-10-2002","20-02-2003","3",3,"GA Green twin","75",3352,"A","whole kernel accept","accept",NA,200.1,0,0,0,0,0
326,"06-05-2002","07-10-2002","20-02-2003","2",2,"GA 982508","75",2272,"A","whole kernel accept","accept",NA,200,0,0.5,0.1,0.7,1.3
327,"06-05-2002","07-10-2002","21-02-2003","6",2,"AT 201","100",6281,"L","loose split kernel reject","reject",66.2,66.2,0,0,0,1.6,1.6
328,"06-05-2002","07-10-2002","21-02-2003","3",2,"AT 201","100",3281,"L","loose split kernel reject","reject",26.6,26.6,0,0,0.1,0.6,0.7
329,"06-05-2002","07-10-2002","21-02-2003","2",2,"AT 201","100",2281,"L","loose split kernel reject","reject",22.2,22.2,0,0,0.1,1.2,1.3
330,"06-05-2002","07-10-2002","21-02-2003","2",3,"AT 201","100",2381,"L","loose split kernel reject","reject",15.1,15.1,0,0,0.1,1.5,1.6
331,"06-05-2002","07-10-2002","21-02-2003","3",1,"AT 201","100",3181,"L","loose split kernel reject","reject",24.9,24.9,0.2,1.4,0.4,3.3,5.3
332,"06-05-2002","07-10-2002","21-02-2003","2",1,"AT 201","100",2181,"L","loose split kernel reject","reject",22.9,22.9,0,0,0,0.2,0.2
333,"06-05-2002","07-10-2002","21-02-2003","6",1,"AT 201","100",6181,"L","loose split kernel reject","reject",29.3,29.3,0,0,0,0.6,0.3
334,"06-05-2002","07-10-2002","21-02-2003","6",3,"AT 201","100",6381,"L","loose split kernel reject","reject",33.2,33.2,0,0,0,0,0
335,"06-05-2002","07-10-2002","21-02-2003","3",3,"AT 201","100",3381,"L","loose split kernel reject","reject",30.4,30.4,0,0,0,0,0
336,"06-05-2002","07-10-2002","21-02-2003","2",2,"AT 201","100",2281,"R","whole kernel reject","reject",NA,200,0,0,0,0,0
337,"06-05-2002","07-10-2002","21-02-2003","6",3,"AT 201","100",6381,"R","whole kernel reject","reject",NA,200.1,0,0,0,1.2,1.2
338,"06-05-2002","07-10-2002","21-02-2003","2",1,"AT 201","100",2181,"R","whole kernel reject","reject",NA,199.9,0,0,0,0.9,0.9
339,"06-05-2002","07-10-2002","21-02-2003","6",2,"AT 201","100",6281,"R","whole kernel reject","reject",NA,200,0,0,0,0,0
340,"06-05-2002","07-10-2002","21-02-2003","3",2,"AT 201","100",3281,"R","whole kernel reject","reject",NA,200.2,0,0,0,0.7,0.7
341,"06-05-2002","07-10-2002","21-02-2003","3",3,"AT 201","100",3381,"R","whole kernel reject","reject",NA,200,0,0,0,0,0
342,"06-05-2002","07-10-2002","21-02-2003","3",1,"AT 201","100",3181,"R","whole kernel reject","reject",NA,200.1,0,0,0,1.4,1.4
343,"06-05-2002","07-10-2002","21-02-2003","6",1,"AT 201","100",6181,"R","whole kernel reject","reject",NA,199.9,0,0,0,1.2,1.2
344,"06-05-2002","07-10-2002","21-02-2003","2",3,"AT 201","100",2381,"R","whole kernel reject","reject",NA,200,0,0,0,0,0
345,"06-05-2002","07-10-2002","21-02-2003","6",2,"AT 201","100",6281,"A","whole kernel accept","accept",NA,200,0,0,0,0.4,0.4
346,"06-05-2002","07-10-2002","21-02-2003","3",2,"AT 201","100",3281,"A","whole kernel accept","accept",NA,199.9,0,0,0,0.3,0.3
347,"06-05-2002","07-10-2002","21-02-2003","3",1,"AT 201","100",3181,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
348,"06-05-2002","07-10-2002","21-02-2003","2",1,"AT 201","100",2181,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
349,"06-05-2002","07-10-2002","21-02-2003","3",3,"AT 201","100",3381,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
350,"06-05-2002","07-10-2002","21-02-2003","2",3,"AT 201","100",2381,"A","whole kernel accept","accept",NA,200.2,0,0,0,0,0
351,"06-05-2002","07-10-2002","21-02-2003","2",2,"AT 201","100",2281,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
352,"06-05-2002","07-10-2002","21-02-2003","6",1,"AT 201","100",6181,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
353,"06-05-2002","07-10-2002","21-02-2003","6",3,"AT 201","100",6381,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
354,"01-05-2003","11-10-2003","08-12-2003","4",1,"GA Green twin","0",4154,"R","whole kernel reject","reject",NA,388.6,0,0,0,0,0
355,"01-05-2003","11-10-2003","08-12-2003","4",2,"GA Green twin","0",4254,"R","whole kernel reject","reject",NA,401.2,0,0,0,0,0
356,"01-05-2003","11-10-2003","08-12-2003","4",3,"GA Green twin","0",4354,"R","whole kernel reject","reject",NA,426.5,0,0,0,0,0
357,"01-05-2003","11-10-2003","08-12-2003","5",1,"GA Green twin","0",5154,"R","whole kernel reject","reject",NA,409.9,0,0,0,0,0
358,"01-05-2003","11-10-2003","08-12-2003","5",2,"GA Green twin","0",5254,"R","whole kernel reject","reject",NA,390.1,0,0,0,0,0
