"ï..Sample_no","Planting_Date","Harvest_Date","Analysis_Date","Rotation","Rep","Variety","Irrigation","Treatment_Code","Quality_short","Quality_long","Acceptance","Orig_Weight","Weight","AT.G2","At.G1","AT.B2","AT.B1","AT.Total"
41,"06-05-2002","07-10-2002","11-02-2003","3",2,"GA Green diamond","0",3264,"LA","loose split kernel accept","accept",37.4,37.4,0,0,0.2,2.9,3.1
42,"06-05-2002","07-10-2002","11-02-2003","3",3,"GA Green diamond","0",3364,"LA","loose split kernel accept","accept",50.5,50.5,0,0,0.1,0.8,0.9
43,"06-05-2002","07-10-2002","11-02-2003","3",2,"GA Green twin","0",3254,"LA","loose split kernel accept","accept",48.2,48.2,0,0,0.1,0.5,0.6
44,"06-05-2002","07-10-2002","11-02-2003","6",1,"GA Green diamond","0",6164,"LA","loose split kernel accept","accept",56.3,56.3,81.4,210.1,24.4,137.8,453.7
45,"06-05-2002","07-10-2002","11-02-2003","2",2,"GA Green diamond","0",2264,"LA","loose split kernel accept","accept",40.5,40.5,0,0,10.8,85.3,96.1
46,"06-05-2002","07-10-2002","11-02-2003","2",2,"GA Green twin","0",2254,"LA","loose split kernel accept","accept",29.7,29.7,0,0,0.6,4.2,4.8
47,"06-05-2002","07-10-2002","11-02-2003","2",3,"GA Green diamond","0",2364,"LA","loose split kernel accept","accept",51.8,51.8,0,0,0.1,0.5,0.6
48,"06-05-2002","07-10-2002","11-02-2003","3",1,"AT 201","0",3184,"R","whole kernel reject","reject",NA,200,0.7,2.2,26.6,139.9,169.4
49,"06-05-2002","07-10-2002","11-02-2003","2",3,"GA 982508","0",2374,"R","whole kernel reject","reject",NA,199.8,0,0,0.1,0.6,0.7
50,"06-05-2002","07-10-2002","11-02-2003","6",2,"GA 982508","0",6274,"R","whole kernel reject","reject",NA,199.9,0,0,60.6,480.4,541
51,"06-05-2002","07-10-2002","11-02-2003","3",3,"GA 982508","0",3374,"R","whole kernel reject","reject",NA,200.2,0,0,0.6,4.5,5.1
52,"06-05-2002","07-10-2002","11-02-2003","6",1,"GA 982508","0",6174,"R","whole kernel reject","reject",NA,199.9,0,0,3.7,33.8,37.5
53,"06-05-2002","07-10-2002","11-02-2003","3",1,"GA 982508","0",3174,"R","whole kernel reject","reject",NA,200,0,0,17.2,154.4,171.6
54,"06-05-2002","07-10-2002","11-02-2003","6",3,"AT 201","0",6384,"R","whole kernel reject","reject",NA,200,3.8,11.5,35.7,246.3,297.3
55,"06-05-2002","07-10-2002","11-02-2003","3",3,"AT 201","0",3384,"R","whole kernel reject","reject",NA,199.9,5.3,15.8,540.4,3523.5,4085
56,"06-05-2002","07-10-2002","11-02-2003","6",2,"AT 201","0",6284,"R","whole kernel reject","reject",NA,200,197.6,625.6,401.3,2120.9,3345.3
57,"06-05-2002","07-10-2002","11-02-2003","2",1,"GA 982508","0",2174,"R","whole kernel reject","reject",NA,199.9,0,0,5.5,32.2,37.7
58,"06-05-2002","07-10-2002","11-02-2003","3",2,"AT 201","0",3284,"R","whole kernel reject","reject",NA,199.9,32.7,150.7,65.9,393.7,643
59,"06-05-2002","07-10-2002","11-02-2003","3",2,"GA 982508","0",3274,"R","whole kernel reject","reject",NA,200,0,0,0,0.1,0.1
60,"06-05-2002","07-10-2002","11-02-2003","2",2,"GA 982508","0",2274,"R","whole kernel reject","reject",NA,200,0,0,0,0.5,0.5
61,"06-05-2002","07-10-2002","11-02-2003","6",3,"GA 982508","0",6374,"R","whole kernel reject","reject",NA,200,0,0,0.1,0.7,0.8
62,"06-05-2002","07-10-2002","11-02-2003","2",3,"AT 201","0",2384,"R","whole kernel reject","reject",NA,199.9,66.7,200,518.6,2964.6,3749.8
63,"06-05-2002","07-10-2002","11-02-2003","6",1,"AT 201","0",6184,"R","whole kernel reject","reject",NA,200.2,0,4.3,381.5,3514.1,3899.9
64,"06-05-2002","07-10-2002","11-02-2003","2",2,"AT 201","0",2284,"R","whole kernel reject","reject",NA,200.2,4.4,13.3,567.7,3227.4,3812.8
65,"06-05-2002","07-10-2002","11-02-2003","2",1,"AT 201","0",2184,"R","whole kernel reject","reject",NA,200.1,0,0,27.5,204.3,231.8
66,"06-05-2002","07-10-2002","12-02-2003","3",2,"GA 982508","0",3274,"LA","loose split kernel accept","accept",32.1,32.1,0,0,0.1,0.9,1
67,"06-05-2002","07-10-2002","12-02-2003","6",3,"GA 982508","0",6374,"LA","loose split kernel accept","accept",43.7,43.7,0,0,0.2,2.5,2.7
68,"06-05-2002","07-10-2002","12-02-2003","6",1,"AT 201","0",6184,"LA","loose split kernel accept","accept",71.9,71.9,1.4,4.3,180,913.9,1099.6
69,"06-05-2002","07-10-2002","12-02-2003","6",1,"GA 982508","0",6174,"LA","loose split kernel accept","accept",75.7,75.7,0,0,0,0.3,0.3
70,"06-05-2002","07-10-2002","12-02-2003","2",1,"GA 982508","0",2174,"LA","loose split kernel accept","accept",38.8,38.8,0,0,0.1,3,3.1
71,"06-05-2002","07-10-2002","12-02-2003","6",3,"AT 201","0",6384,"LA","loose split kernel accept","accept",48.2,48.2,0.9,2.8,59.5,340.3,403.5
72,"06-05-2002","07-10-2002","12-02-2003","2",3,"AT 201","0",2384,"LA","loose split kernel accept","accept",33.4,33.4,131,403,762.4,4546.3,5842.7
73,"06-05-2002","07-10-2002","12-02-2003","2",2,"AT 201","0",2284,"LA","loose split kernel accept","accept",48.2,48.2,119.3,459.4,827.6,4404.5,5810.8
