"Rotation","Irrigation","Acceptance","AFG2_mean","AFG1_mean","AFB2_mean","AFB1_mean","AFTotal_mean","AFG2_sd","AFG1_sd","AFB2_sd","AFB1_sd","AFTotal_sd","AFG2_se","AFG1_se","AFB2_se","AFB1_se","AFTotal_se"
1,0,"accept",0.00409233333333333,0.0432923333333333,0.129999,0.422989,0.600372666666667,0.0224146327949698,0.166575297785412,0.345129132668059,0.988818930844023,1.48247987655339,0.00409233333333333,0.0304123493734036,0.0630116704048297,0.180532811237137,0.270662556478588
1,0,"premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,"reject",0,0,0.963106666666667,1.40956333333333,2.37267,0,0,1.39820427472765,2.06609959180739,3.46242988073405,0,0,0.570814504876828,0.843481626283453,1.41353107966067
1,50,"reject",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,"accept",10.02,34.584,66.59668,377.00876,488.20936,34.691209261137,119.645461259506,219.761255443022,1235.30142855196,1608.51778218191,6.93824185222741,23.9290922519012,43.9522510886045,247.060285710393,321.703556436382
2,0,"premium",1.04761904761905,2.41904761904762,8.38571428571429,45.2095238095238,57.0619047619048,4.08945216962114,9.02638460556712,28.4644740986776,155.91449549276,197.313072238487,0.892391624675727,1.9697186050855,6.21145748449047,34.0233322636392,43.0572423398646
2,0,"reject",3.97222222222222,11.9888888888889,71.8328333333333,443.115888888889,530.904277777778,15.6888797468914,47.0268620219762,175.433966097269,1018.22844221543,1235.38611559077,3.69790441941573,11.0843376778878,41.3501823592765,239.998745429181,291.18329990598
2,50,"accept",0.0333333333333333,0.0916666666666667,0.616666666666667,3.30833333333333,4.05,0.115470053837925,0.317542648054294,1.73406161856195,7.12479133134098,9.28493403315285,0.0333333333333333,0.0916666666666667,0.500580471134071,2.05675009653481,2.68032958172436
2,50,"premium",0,0,0.00833333333333333,0.141666666666667,0.15,0,0,0.0288675134594813,0.156427928995103,0.173205080756888,0,0,0.00833333333333333,0.0451568534570492,0.05
2,50,"reject",0.308333333333333,0.583333333333333,0.5,3.71666666666667,5.10833333333333,0.722946412365063,2.02072594216369,0.641021911411062,5.22612899213407,6.96294847856506,0.208696652894322,0.583333333333333,0.185047086554812,1.50865349021416,2.01003008922652
2,75,"accept",0,0,0.216666666666667,1.71666666666667,1.93333333333333,0,0,0.337144874893074,2.31725412215982,2.65229460404885,0,0,0.137638818813751,0.946015033942085,1.08279473790947
2,75,"premium",0,0.0454545454545455,0.00909090909090909,0.0636363636363636,0.118181818181818,0,0.150755672288882,0.0301511344577764,0.211057941204435,0.391964747951093,0,0.0454545454545455,0.00909090909090909,0.0636363636363636,0.118181818181818
2,75,"reject",0,0,0.127777777777778,0.761111111111111,0.888888888888889,0,0,0.315865860501044,1.57746590860483,1.89112132590192,0,0,0.0744502973018709,0.371812280355024,0.445741571197248
2,100,"premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100,"reject",0,0,0.0333333333333333,0.633333333333333,0.666666666666667,0,0,0.0516397779494322,0.653197264742181,0.697614984548545,0,0,0.0210818510677892,0.266666666666667,0.284800124843918
3,0,"accept",0.785714285714286,2.08076523809524,36.7704969047619,259.534011190476,298.909082857143,3.57181182612611,9.34854433795202,153.273389468699,1128.64181901734,1285.69528963456,0.551142530205476,1.44251170861514,23.6505974550647,174.153213581684,198.387090221095
3,0,"premium",0.293333333333333,1.01,5.36,31.94,38.6033333333333,1.34213759850968,4.56979211781017,25.5087895602199,146.58862354127,173.46634272236,0.245039679326521,0.834326075344646,4.65724648559492,26.7632985957288,31.6704762923196
3,0,"reject",2.15,9.37222222222222,37.6300555555556,243.964183333333,293.116461111111,7.72568291289438,35.466534442478,126.552978549479,824.773759502065,959.183024813069,1.82096092566822,8.35954233648748,29.8288231038975,194.401039429544,226.081607081449
3,50,"accept",0,0,0.158333333333333,1.35,1.50833333333333,0,0,0.257464325272219,1.84267591981188,2.09781632497541,0,0,0.0743235487513204,0.531934719166314,0.605587409967472
