date,max temperature, min temperature, total precipitation
9/29/2018,89.6,69.8,0.02
9/30/2018,89.6,69.8,0.19
10/1/2018,80.6,68,0.1
10/2/2018,86,68,0.12
10/3/2018,84.2,68,0.01
10/4/2018,87.8,64.4,0
10/5/2018,87.8,64.4,0
10/6/2018,87.8,64.4,0
10/7/2018,87.8,64.4,0
10/8/2018,87.8,69.8,0.04
10/9/2018,84.2,69.8,0.1
10/10/2018,84.2,71.6,0.44
10/11/2018,84.2,73.4,1.23
10/12/2018,86,55.4,0
10/13/2018,78.8,51.8,0
10/14/2018,80.6,51.8,0
10/15/2018,86,55.4,0
10/16/2018,87.8,60.8,0
10/17/2018,89.6,69.8,0.06
10/18/2018,87.8,60.8,0
10/19/2018,78.8,60.8,0
10/20/2018,82.4,60.8,0
10/21/2018,86,51.8,0.1
10/22/2018,68,42.8,0
10/23/2018,71.6,44.6,0
10/24/2018,71.6,53.6,0
10/25/2018,73.4,50,0
10/26/2018,68,51.8,0.04
10/27/2018,80.6,55.4,0.07
10/28/2018,60.8,42.8,0
10/29/2018,71.6,42.8,0
10/30/2018,77,41,0
10/31/2018,77,42.8,0
11/1/2018,80.6,46.4,0
11/2/2018,78.8,59,0.04
11/3/2018,71.6,41,0.11
11/4/2018,64.4,41,0
11/5/2018,69.8,46.4,0.26
11/6/2018,71.6,62.6,0.04
11/7/2018,80.6,66.2,0.08
11/8/2018,77,62.6,0.21
11/9/2018,71.6,62.6,0.03
11/10/2018,78.8,50,0.09
11/11/2018,60.8,42.8,0
11/12/2018,55.4,42.8,0
11/13/2018,69.8,51.8,0.16
11/14/2018,77,53.6,0.26
11/15/2018,55.4,42.8,1.05
11/16/2018,50,32,0
11/17/2018,55.4,32,0
11/18/2018,64.4,35.6,0
11/19/2018,71.6,44.6,0
11/20/2018,68,51.8,0
11/21/2018,68,37.4,0
11/22/2018,62.6,35.6,0
11/23/2018,60.8,37.4,0.05
11/24/2018,59,50,0.29
11/25/2018,65,48,0.01
11/26/2018,64,48,0.22
11/27/2018,69,36,0.09
11/28/2018,52,31,0
11/29/2018,53,31,0
11/30/2018,63,32,0
4/1/2019,71.6,50,0.02
4/2/2019,57.2,44.6,0.17
4/3/2019,57.2,35.6,0
4/4/2019,69.8,37.4,0
4/5/2019,75.2,46.4,0.06
4/6/2019,77,59,0.02
4/7/2019,73.4,60.8,0.23
4/8/2019,80.6,60.8,0
4/9/2019,82.4,62.6,0.24
4/10/2019,78.8,60.8,0.31
4/11/2019,80.6,60.8,0
4/12/2019,82.4,62.6,0
4/13/2019,84.2,66.2,0.04
4/14/2019,82.4,68,0.02
4/15/2019,78.8,51.8,0.09
4/16/2019,69.8,42.8,0
4/17/2019,77,48.2,0
4/18/2019,78.8,53.6,0
4/19/2019,82.4,62.6,0
4/20/2019,73.4,44.6,0.26
4/21/2019,64.4,46.4,0
4/22/2019,73.4,42.8,0
4/23/2019,80.6,46.4,0
4/24/2019,84.2,51.8,0
4/25/2019,84.2,53.6,0
4/26/2019,80.6,57.2,0.08
4/27/2019,78.8,44.6,0
4/28/2019,80.6,46.4,0
4/29/2019,82.4,51.8,0
4/30/2019,86,55.4,0
5/1/2019,86,60.8,0
5/2/2019,86,60.8,0
5/3/2019,82.4,64.4,0.07
5/4/2019,84.2,64.4,0.14
5/5/2019,87.8,68,0.26
5/6/2019,80.6,60.8,0.1
5/7/2019,82.4,57.2,0
5/8/2019,86,62.6,0
5/9/2019,84.2,62.6,0.01
5/10/2019,86,64.4,0.03
5/11/2019,86,64.4,0.04
5/12/2019,86,66.2,0.16
5/13/2019,80.6,62.6,0.16
5/14/2019,80.6,53.6,0.1
5/15/2019,78.8,50,0
5/16/2019,80.6,55.4,0
5/17/2019,84.2,60.8,0
5/18/2019,89.6,62.6,0.13
5/19/2019,91.4,62.6,0
5/20/2019,87.8,66.2,0
5/21/2019,89.6,64.4,0
5/22/2019,91.4,68,0
5/23/2019,91.4,66.2,0
5/24/2019,89.6,60.8,0
5/25/2019,91.4,64.4,0
5/26/2019,96.8,69.8,0
5/27/2019,96.8,68,0
5/28/2019,96.8,71.6,0.01
5/29/2019,96.8,69.8,0
5/30/2019,95,69.8,0
5/31/2019,93.2,71.6,0
6/1/2019,91.4,66.2,0.02
6/2/2019,91.4,64.4,0
6/3/2019,93.2,64.4,0
6/4/2019,95,68,0
6/5/2019,96.8,71.6,0.12
6/6/2019,91.4,69.8,0.4
6/7/2019,86,71.6,0.17
6/8/2019,86,71.6,0.1
6/9/2019,87.8,69.8,0.45
6/10/2019,84.2,68,0.25
6/11/2019,86,69.8,0.24
6/12/2019,87.8,69.8,0.46
6/13/2019,78.8,69.8,0.37
6/14/2019,82.4,60.8,0
6/15/2019,84.2,60.8,0
6/16/2019,86,64.4,0
6/17/2019,91.4,69.8,0
6/18/2019,89.6,68,0.02
6/19/2019,89.6,71.6,0.14
6/20/2019,87.8,73.4,0.11
6/21/2019,91.4,69.8,0.09
6/22/2019,91.4,75.2,0.07
6/23/2019,91.4,68,0.15
6/24/2019,91.4,68,0.09
6/25/2019,91.4,69.8,0.02
6/26/2019,91.4,69.8,0
6/27/2019,89.6,68,0
6/28/2019,89.6,68,0.01
6/29/2019,86,69.8,0.07
6/30/2019,86,68,0.19
