date,max temperature, min temperature, total precipitation
6/15/2021,89.6,69.8,0.03
6/16/2021,95,68,0.09
6/17/2021,89.6,64.4,0.04
6/18/2021,89.6,68,0.02
6/19/2021,89.6,69.8,0.12
6/20/2021,82.4,71.6,0.46
6/21/2021,82.4,71.6,0.48
6/22/2021,87.8,69.8,0.1
6/23/2021,77,69.8,0.61
6/24/2021,87.8,69.8,0.19
6/25/2021,78.8,64.4,0.09
6/26/2021,86,68,0.12
6/27/2021,87.8,69.8,0.08
6/28/2021,87.8,71.6,0.06
6/29/2021,82.4,68,0.23
6/30/2021,87.8,69.8,0.1
7/1/2021,82.4,71.6,0.15
7/2/2021,82.4,68,0.28
7/3/2021,86,71.6,0.26
7/4/2021,86,68,0.02
7/5/2021,86,69.8,0.13
7/6/2021,84.2,69.8,0.18
7/7/2021,87.8,71.6,0.25
7/8/2021,78.8,71.6,1.88
7/9/2021,86,69.8,0.11
7/10/2021,86,68,0.36
7/11/2021,87.8,69.8,0.19
7/12/2021,89.6,71.6,0.33
7/13/2021,89.6,68,0.17
7/14/2021,87.8,68,0.23
7/15/2021,89.6,71.6,0.08
7/16/2021,89.6,71.6,0.07
7/17/2021,89.6,71.6,0.02
7/18/2021,91.4,69.8,0.06
7/19/2021,89.6,69.8,0.37
7/20/2021,89.6,71.6,0.51
7/21/2021,82.4,71.6,0.44
7/22/2021,87.8,73.4,0.24
7/23/2021,89.6,73.4,0.2
7/24/2021,89.6,69.8,0.18
7/25/2021,87.8,68,0
7/26/2021,87.8,69.8,0.07
7/27/2021,87.8,73.4,0.16
7/28/2021,89.6,69.8,0.56
7/29/2021,89.6,69.8,0.12
7/30/2021,91.4,71.6,0.03
7/31/2021,93.2,73.4,0
8/1/2021,93.2,71.6,0.11
8/2/2021,91.4,71.6,0.26
8/3/2021,87.8,71.6,0.7
8/4/2021,84.2,71.6,0.43
8/5/2021,82.4,71.6,0.16
8/6/2021,77,68,0.39
8/7/2021,86,71.6,0.25
8/8/2021,84.2,71.6,0.12
8/9/2021,89.6,71.6,0.19
8/10/2021,86,71.6,0.07
8/11/2021,89.6,71.6,0.03
8/12/2021,91.4,71.6,0.07
8/13/2021,91.4,71.6,0.02
8/14/2021,93.2,71.6,0.04
8/15/2021,86,71.6,0.17
8/16/2021,84.2,71.6,0.18
8/17/2021,80.6,73.4,0.66
8/18/2021,89.6,73.4,0.32
8/19/2021,91.4,73.4,0.05
8/20/2021,93.2,73.4,0.08
8/21/2021,87.8,71.6,0.06
8/22/2021,87.8,71.6,0.08
8/23/2021,89.6,71.6,0.4
8/24/2021,89.6,71.6,0.19
8/25/2021,89.6,71.6,0.28
8/26/2021,86,69.8,0.12
8/27/2021,89.6,71.6,0.06
8/28/2021,89.6,73.4,0.1
8/29/2021,87.8,71.6,0.1
8/30/2021,89.6,71.6,0
8/31/2021,89.6,71.6,0.02
9/1/2021,89.6,71.6,0.25
9/2/2021,87.8,69.8,0.07
9/3/2021,89.6,64.4,0.17
9/4/2021,86,59,0
9/5/2021,84.2,60.8,0
9/6/2021,86,62.6,0
9/7/2021,89.6,64.4,0
9/8/2021,89.6,69.8,0.11
9/9/2021,82.4,71.6,1.37
9/10/2021,86,64.4,0.05
9/11/2021,86,62.6,0
9/12/2021,86,62.6,0
9/13/2021,86,59,0
9/14/2021,86,60.8,0
9/15/2021,87.8,64.4,0.02
9/16/2021,86,69.8,0.7
9/17/2021,78.8,69.8,1.13
9/18/2021,84.2,71.6,0.06
9/19/2021,84.2,71.6,0.25
9/20/2021,82.4,71.6,0.44
9/21/2021,86,73.4,1.62
9/22/2021,82.4,71.6,0.24
9/23/2021,87.8,55.4,0.26
9/24/2021,77,55.4,0
9/25/2021,78.8,55.4,0
9/26/2021,78.8,53.6,0
9/27/2021,82.4,55.4,0
9/28/2021,82.4,57.2,0
9/29/2021,86,60.8,0
9/30/2021,86,60.8,0
10/1/2021,86,60.8,0
10/2/2021,84.2,60.8,0
10/3/2021,86,60.8,0
10/4/2021,86,60.8,0.02
10/5/2021,84.2,66.2,0.15
10/6/2021,80.6,68,0.37
10/7/2021,80.6,68,0.32
10/8/2021,82.4,69.8,0.38
10/9/2021,77,64.4,0.7
10/10/2021,80.6,62.6,0
10/11/2021,80.6,62.6,0
10/12/2021,80.6,62.6,0
10/13/2021,78.8,57.2,0
10/14/2021,80.6,59,0
10/15/2021,82.4,59,0
10/16/2021,86,60.8,0
10/17/2021,86,48.2,0
10/18/2021,69.8,44.6,0
10/19/2021,71.6,44.6,0
10/20/2021,77,44.6,0
10/21/2021,78.8,48.2,0
10/22/2021,80.6,55.4,0
10/23/2021,82.4,50,0
10/24/2021,78.8,48.2,0
10/25/2021,78.8,50,0.17
10/26/2021,80.6,60.8,0.02
10/27/2021,71.6,48.2,0
10/28/2021,71.6,46.4,0.1
10/29/2021,71.6,53.6,0.77
10/30/2021,66.2,46.4,0
10/31/2021,62.6,48.2,0
11/1/2021,66.2,42.8,0
11/2/2021,71.6,42.8,0
11/3/2021,73.4,46.4,0
11/4/2021,68,46.4,0
11/5/2021,62.6,44.6,0
11/6/2021,44.6,41,0.84
11/7/2021,46.4,41,0.55
11/8/2021,66.2,37.4,0
11/9/2021,69.8,37.4,0
11/10/2021,73.4,37.4,0
11/11/2021,71.6,44.6,0
11/12/2021,77,59,0.09
11/13/2021,75.2,42.8,0
11/14/2021,69.8,35.6,0
11/15/2021,60.8,35.6,0
11/16/2021,66.2,35.6,0
11/17/2021,73.4,37.4,0
11/18/2021,77,41,0
11/19/2021,78.8,51.8,0
11/20/2021,68,42.8,0
11/21/2021,64.4,42.8,0
11/22/2021,71.6,46.4,0
11/23/2021,66.2,37.4,0
11/24/2021,53.6,30.2,0
11/25/2021,60.8,30.2,0
11/26/2021,69.8,35.6,0.01
11/27/2021,62.6,32,0
11/28/2021,60.8,33.8,0
11/29/2021,59,39.2,0.01
11/30/2021,59,32,0
