Date,MaxTf,MinTf,Rain (in),MaxTc,MinTc
2003-08-06,89.6,71.8,1.41,32.0,22.1
2003-08-07,80,70.8,0.55,26.7,21.6
2003-08-08,88.2,73.1,0,31.2,22.8
2003-08-09,90.3,71,0.17,32.4,21.7
2003-08-10,89.1,70,0.46,31.7,21.1
2003-08-11,90.4,70.5,0,32.4,21.4
2003-08-12,82.1,70.6,0.02,27.8,21.4
2003-08-13,91.6,71.9,0,33.1,22.2
2003-08-14,88.9,73.1,0.1,31.6,22.8
2003-08-15,92.6,72.1,0.03,33.7,22.3
2003-08-16,90.8,70.4,1.25,32.7,21.3
2003-08-17,86.5,69.3,0.98,30.3,20.7
2003-08-18,90.9,72.1,0.25,32.7,22.3
2003-08-19,90.5,72.8,0.03,32.5,22.7
2003-08-20,90.4,71,0,32.4,21.7
2003-08-21,90.2,71.4,0.18,32.3,21.9
2003-08-22,88.8,71.1,0.03,31.6,21.7
2003-08-23,89.1,71,0,31.7,21.7
2003-08-24,94.1,72.5,0,34.5,22.5
2003-08-25,92.7,73,0,33.7,22.8
2003-08-26,94.2,71.8,0,34.6,22.1
2003-08-27,96,72.1,0.01,35.6,22.3
2003-08-28,93.5,71.3,0.11,34.2,21.8
2003-08-29,93.1,71.7,1.44,33.9,22.1
2003-08-30,92.2,70.6,0,33.4,21.4
2003-08-31,92.2,73.5,0.03,33.4,23.1
2003-09-01,91.8,71.6,0,33.2,22.0
2003-09-02,90.1,72.6,0.05,32.3,22.6
2003-09-03,92,71.9,0,33.3,22.2
2003-09-04,91.5,71.2,0,33.1,21.8
2003-09-05,87.1,71.8,4.62,30.6,22.1
2003-09-06,76.5,67.7,0.04,24.7,19.8
2003-09-07,72.3,64.9,0,22.4,18.3
2003-09-08,85.3,67.9,0,29.6,19.9
2003-09-09,85.8,63.5,0,29.9,17.5
2003-09-10,85.2,66.4,0,29.6,19.1
2003-09-11,81.6,62.9,0,27.6,17.2
2003-09-12,86.3,59,0,30.2,15.0
2003-09-13,89.7,66.7,0,32.1,19.3
2003-09-14,86.2,67.6,0.01,30.1,19.8
2003-09-15,90.2,66.2,0,32.3,19.0
2003-09-16,89,66.5,0,31.7,19.2
2003-09-17,84.9,62.4,0,29.4,16.9
2003-09-18,86.1,59.2,0,30.1,15.1
2003-09-19,87.6,58.1,0,30.9,14.5
2003-09-20,89.6,60.2,0,32.0,15.7
2003-09-21,89.4,71.3,0.12,31.9,21.8
2003-09-22,88.6,70.7,0.07,31.4,21.5
2003-09-23,86.8,62.3,0.09,30.4,16.8
